Wall time,Step,Reward,Episode_Length
1699429267,2252800,308.344696,380.8299866
1699429284,2260992,328.3332825,388.6600037
1699429288,2263040,317.3287964,389.3500061
1699429293,2265088,317.8273315,387.7900085
1699429331,2283520,335.9958801,386.4700012
1699429339,2287616,347.0305481,395.4400024
1699429352,2293760,340.4677429,395.7099915
1699429378,2306048,305.8155212,373.7600098
1699429382,2308096,296.4787598,369.5899963
1699429412,2322432,291.0511475,365.9700012
1699429421,2326528,280.5358276,357.2200012
1699429480,2355200,313.8155518,380.9400024
1699429506,2367488,327.1193848,393.3399963
1699429510,2369536,315.7984009,388.1600037
1699429515,2371584,316.1159668,389.7399902
1699429527,2377728,298.4584351,381.8299866
1699429531,2379776,305.2713928,381.1099854
1699429536,2381824,307.2272644,382.7399902
1699429613,2418688,337.9378357,381.269989
1699429626,2424832,347.5012207,384.4500122
1699429634,2428928,321.1078491,373.7399902
1699429665,2443264,332.0843201,372.8399963
1699429669,2445312,336.4563904,373.6199951
1699429686,2453504,336.3574829,381.0499878
1699429694,2457600,331.7746582,379.769989
1699429703,2461696,311.808197,381.0700073
1699429724,2471936,288.8912659,379.9899902
1699429732,2476032,313.3695068,383.4200134
1699429741,2480128,299.3085022,380.9400024
1699429758,2488320,282.5043945,371.8900146
1699429800,2508800,342.9626465,376.8399963
1699429818,2516992,354.3945007,378.1700134
1699429835,2525184,333.4175415,385.2099915
1699429839,2527232,335.5403442,389.9700012
1699429843,2529280,347.9429321,393.7600098
1699429852,2533376,345.7147827,396.9100037
1699429865,2539520,339.1385498,396.3500061
1699429878,2545664,320.0509644,393.1099854
1699429886,2549760,316.5777893,388.2600098
1699429899,2555904,282.0106812,368.6199951
1699429924,2568192,322.2921143,365.3399963
1699429933,2572288,323.3510742,367.4200134
1699429941,2576384,304.5697327,363.0400085
1699429946,2578432,308.2094116,363.9500122
1699429959,2584576,282.5303955,354.7799988
1699429967,2588672,296.1875916,356.1400146
1699429980,2594816,295.5410156,362.2200012
1699430014,2611200,315.2049866,369.3500061
1699430036,2621440,375.7774963,394.5599976
1699430044,2625536,398.0402222,404.4200134
1699430069,2637824,443.7430725,422.6400146
1699430087,2646016,426.8453369,418.2200012
1699430091,2648064,438.9352722,423.0899963
1699430095,2650112,440.7516479,425.8999939
1699430100,2652160,432.4972229,425.1900024
1699430125,2664448,348.2997437,396.7200012
1699430138,2670592,330.7677612,390
1699430168,2684928,377.7755127,401.8500061
1699430176,2689024,363.0812378,399.3399963
1699430189,2695168,413.5236511,411.8800049
1699430193,2697216,417.2977295,411.3500061
1699430206,2703360,430.1272583,414.0599976
1699430232,2715648,467.9963684,425.5899963
1699430240,2719744,457.5797119,420.5299988
1699430253,2725888,439.3765564,413.3200073
1699430266,2732032,434.8159485,412.7399902
1699430270,2734080,429.2680969,411.1900024
1699430275,2736128,413.1100769,410.5100098
1699430279,2738176,422.0839844,410.3900146
1699430284,2740224,443.6983032,416.4200134
1699430309,2752512,420.605072,416.0599976
1699430360,2777088,443.094696,421.7200012
1699430386,2789376,507.6356506,442.3099976
1699430407,2799616,499.3343811,435.7900085
1699430424,2807808,507.6845093,432.8500061
1699430454,2822144,507.0440063,445.0799866
1699430463,2826240,482.6125488,431.0599976
1699430484,2836480,406.4617004,411.1300049
1699430488,2838528,419.2416077,414
1699430501,2844672,417.7436829,413.9200134
1699430505,2846720,431.9699402,417.6300049
1699430514,2850816,444.9532776,425.9700012
1699430518,2852864,459.1092834,426.5299988
1699430531,2859008,464.1096802,422.0799866
1699430604,2893824,524.8555908,443.7799988
1699430608,2895872,523.9447021,442.8800049
1699430612,2897920,513.0018921,442.9700012
1699430634,2908160,501.8435059,440.3299866
1699430647,2914304,487.5976868,433.9899902
1699430664,2922496,457.3693542,419.480011
1699430668,2924544,433.5360718,414.480011
1699430672,2926592,426.4683228,414.6400146
1699430689,2934784,400.335083,413.1099854
1699430693,2936832,375.9958801,402.9200134
1699430707,2942976,353.469696,402.9200134
1699430724,2951168,345.2111816,391.1700134
1699430732,2955264,364.2292786,395.1499939
1699430788,2981888,477.3349304,428.3299866
1699430792,2983936,467.9336243,424.1499939
1699430831,3002368,477.003479,439.7799988
1699430835,3004416,471.4689636,435.4400024
1699430882,3026944,360.2165833,394.4899902
1699430916,3043328,372.8126831,390.1099854
1699430920,3045376,371.0635986,387.1099854
1699430933,3051520,389.6000977,391.9400024
1699430942,3055616,400.6440125,400.8999939
1699430946,3057664,406.0895386,400
1699430980,3074048,415.5074158,406.0899963
1699430984,3076096,411.4771118,404.5599976
1699430989,3078144,421.5272217,406.3599854
1699431006,3086336,437.063324,410.6400146
1699431015,3090432,438.944519,411.4200134
1699431023,3094528,431.7776794,408.4700012
1699431058,3110912,364.8296204,395.4299927
1699431079,3121152,346.1106873,388.5700073
1699431083,3123200,350.3243103,389.6400146
1699431095,3129344,385.2387085,408.519989
1699431126,3143680,415.4224243,413.8900146
1699431134,3147776,408.5721741,414.3299866
1699431177,3168256,487.9042969,438.1099854
1699431198,3178496,466.0826111,424.1400146
1699431203,3180544,468.5959473,427.5400085
1699431212,3184640,438.9983215,420.3500061
1699431216,3186688,451.9404602,418.269989
1699431241,3198976,420.3650513,411.0499878
1699431272,3213312,426.794281,412.0499878
1699431276,3215360,438.1674194,415.4899902
1699431315,3233792,453.9784546,408.6600037
1699431332,3241984,447.2466125,396.7000122
1699431340,3246080,419.474823,385.6099854
1699431357,3254272,363.1145325,374.8599854
1699431396,3272704,373.8756409,390.25
1699431404,3276800,358.5903931,393.9599915
1699431417,3282944,357.2906799,400.4299927
1699431425,3287040,393.1253052,414.3099976
1699431429,3289088,379.4599915,408.8399963
1699431451,3299328,405.3435364,413.3999939
1699431485,3315712,430.1274109,403.2799988
1699431493,3319808,448.664917,410.3699951
1699431524,3334144,390.6997681,396.1799927
1699431528,3336192,393.1329651,398.6799927
1699431546,3344384,367.289093,400.5299988
1699431568,3354624,355.3292542,401.7099915
1699431581,3360768,366.5601807,404.5499878
1699431589,3364864,395.600647,409.8500061
1699431603,3371008,403.9573975,414.6199951
1699431615,3377152,393.9520569,413.5700073
1699431632,3385344,413.5033264,414.3399963
1699431667,3401728,414.0342407,417.0799866
1699431701,3418112,363.0400391,398.3699951
1699431710,3422208,370.6296387,402.2799988
1699431718,3426304,376.2511292,405.9500122
1699431731,3432448,398.4261475,410.3299866
1699431735,3434496,392.1924133,409.3099976
1699431761,3446784,378.1395264,399.8999939
1699431765,3448832,399.2232056,401.980011
1699431799,3465216,435.8401794,416.4599915
1699431813,3471360,445.5004883,415.2200012
1699431817,3473408,453.680542,414.4200134
1699431821,3475456,476.4456177,420.3500061
1699431825,3477504,487.7570496,423.4599915
1699431834,3481600,465.5035095,411.7999878
1699431846,3487744,497.8028564,421.2999878
1699431877,3502080,498.4998169,422.1099854
1699431881,3504128,510.7209167,422.0599976
1699431902,3514368,434.2554016,398.5400085
1699431911,3518464,432.4537659,397.3399963
1699431916,3520512,439.0774231,400.6400146
1699431920,3522560,427.7182007,398.3500061
1699431958,3540992,463.3009949,398.5599976
1699431975,3549184,482.9733276,412.4400024
1699431984,3553280,466.1026306,414.3200073
1699431988,3555328,466.2782288,416.8800049
1699431997,3559424,478.1646423,421.5499878
1699432018,3569664,474.48703,424.0700073
1699432023,3571712,466.994751,423.4700012
1699432031,3575808,483.5318604,427.2999878
1699432035,3577856,476.1485291,429.9599915
1699432039,3579904,463.9063416,427.4500122
1699432053,3586048,428.4543762,421.0599976
1699432062,3590144,412.6557007,410.3399963
1699432070,3594240,438.2423706,412.3299866
1699432121,3618816,441.3674927,413.5100098
1699432160,3637248,447.4219666,426.6199951
1699432185,3649536,405.8430786,424.3900146
1699432190,3651584,401.5679626,427.519989
1699432216,3663872,439.9078674,438.6799927
1699432220,3665920,428.0686646,434.0299988
1699432224,3667968,426.769104,434.5899963
1699432258,3684352,480.5915833,436.7399902
1699432288,3698688,466.5174866,429.2200012
1699432322,3715072,493.1867676,429.6799927
1699432326,3717120,472.1613159,425.1499939
1699432339,3723264,464.9038086,422.9200134
1699432369,3737600,493.6351013,420.0499878
1699432378,3741696,498.4827576,422.8999939
1699432395,3749888,461.8276672,410.6199951
1699432438,3770368,470.1653442,413.769989
1699432442,3772416,489.3415527,418.4899902
1699432455,3778560,491.8708496,417.3200073
1699432476,3788800,479.1710815,418.4100037
1699432493,3796992,474.772583,418.4200134
1699432549,3823616,447.1354675,416.9500122
1699432557,3827712,474.8531189,422.8099976
1699432561,3829760,498.0202942,429.3500061
1699432587,3842048,502.8447266,435.4700012
1699432591,3844096,496.58255,431.0599976
1699432595,3846144,492.7627258,429.769989
1699432604,3850240,487.6106873,429.5400085
1699432613,3854336,495.3557434,430.0700073
1699432664,3878912,481.583313,435.6799927
1699432702,3897344,492.0001221,449.5
1699432719,3905536,507.0116577,446.2999878
1699432740,3915776,504.3971558,441.0700073
1699432745,3917824,502.3143005,440.1400146
1699432766,3928064,501.1435242,434.7799988
1699432771,3930112,507.7146912,432.7999878
1699432792,3940352,519.0046387,439.3099976
1699432796,3942400,528.6105957,441.5
1699432822,3954688,549.5582275,448.9100037
1699432839,3962880,551.9725952,446.9400024
1699432847,3966976,551.1219482,442.5499878
1699432856,3971072,558.5440674,445.730011
1699432882,3983360,552.5700073,433.6900024
1699432894,3989504,544.8040771,431.4100037
1699432903,3993600,580.6430664,439.230011
1699432916,3999744,600.9331055,444.4899902
1699432929,4005888,606.9164429,440.230011
1699432942,4012032,598.5870361,439.7000122
1699432950,4016128,613.1367798,447.0700073
1699432980,4030464,689.050415,465.269989
1699432989,4034560,709.4562988,473.9500122
1699433040,4059136,755.223877,475.7000122
1699433044,4061184,744.5657349,477.3099976
1699433048,4063232,736.4727173,476.4299927
1699433108,4091904,655.0930786,461.1400146
1699433126,4100096,657.90625,461.3099976
1699433142,4108288,690.9822998,464.9899902
1699433147,4110336,689.944519,462.5899963
1699433160,4116480,697.8718262,465.769989
1699433164,4118528,695.8045044,463.8099976
